gender,total_words,theme,theme_keyword_count,theme_keyword_normalized_term_frequency,theme_cSFIDF,id
men,1076150,Characterization,12587,0.011696324861775775,0.40564172050728287,point estimate
men,1076150,Clothing/Makeup/Appearance ,1417,0.0013167309389954932,0.21493800787845307,point estimate
men,1076150,Drugs and Addiction,6259,0.005816103703015379,0.34881987326935565,point estimate
men,1076150,Emotions,673,0.00062537750313618,0.16110171259975378,point estimate
men,1076150,Explicit Reference to Defendant’s Gender ,1348,0.0012526134832504762,0.20515700128689046,point estimate
men,1076150,Figurative/Metaphorical Language,1944,0.0018064396227291733,0.2451299477596417,point estimate
men,1076150,Gender and Gender Roles,7347,0.006827115179110719,0.35010133607671085,point estimate
men,1076150,Immigration,2215,0.00205826325326395,0.24893404404079522,point estimate
men,1076150,Intimate Partner Relationships,987,0.00091715838870046,0.18472741181421273,point estimate
men,1076150,Mental Health/Mental Disability,8094,0.007521256330437207,0.37116823139396576,point estimate
men,1076150,Parenting Language,13314,0.012371881243321099,0.39070519458823255,point estimate
men,1076150,Racial Tropes,3947,0.0036677043163127815,0.31240181520367427,point estimate
men,1076150,Religion ,1142,0.0010611903545044835,0.19913713873089842,point estimate
men,1076150,Sexual Language,3955,0.0036751382242252474,0.2922000124681512,point estimate
men,1076150,Sexuality,122,0.00011336709566510245,0.08524042476937643,point estimate
men,1076150,Socioeconomic Status/Spending/Poverty,3022,0.0028081587139339313,0.2803962222039754,point estimate
men,1076150,Testimony re Gender-Based Violence ,2931,0.0027235980114296335,0.26911184050346704,point estimate
men,1076150,Women’s Non-Domestic Work,2526,0.0023472564233610557,0.26416469065731724,point estimate
women,602255,Characterization,7609,0.012634183194826112,0.4215911541610818,point estimate
women,602255,Clothing/Makeup/Appearance ,835,0.0013864559032303592,0.22055541752570343,point estimate
women,602255,Drugs and Addiction,2490,0.004134461316219874,0.29409972310788884,point estimate
women,602255,Emotions,666,0.0011058438701214601,0.21422785412937334,point estimate
women,602255,Explicit Reference to Defendant’s Gender ,1209,0.002007455313779047,0.2597172194939026,point estimate
women,602255,Figurative/Metaphorical Language,689,0.0011440336734439731,0.19507609402666948,point estimate
women,602255,Gender and Gender Roles,4956,0.00822907240288582,0.3843709834957276,point estimate
women,602255,Immigration,1274,0.002115383018820931,0.25236454544963177,point estimate
women,602255,Intimate Partner Relationships,900,0.0014943836082722435,0.2357980567679281,point estimate
women,602255,Mental Health/Mental Disability,3688,0.006123651941453371,0.3349121101411099,point estimate
women,602255,Parenting Language,12479,0.020720458941810363,0.5056278644755723,point estimate
women,602255,Racial Tropes,907,0.0015060065918921387,0.2001842138673491,point estimate
women,602255,Religion ,720,0.0011955068866177948,0.21136431033508438,point estimate
women,602255,Sexual Language,2870,0.004765423284157043,0.3327316644036406,point estimate
