gender,total_words,theme,theme_keyword_count,theme_keyword_normalized_term_frequency,theme_cSFIDF,id
men,774350,Characterization,9424,0.012170207270614063,0.3962009593758679,point estimate
men,774350,Clothing/Makeup/Appearance ,732,0.0009453089688125525,0.1865600526387108,point estimate
men,774350,Drugs and Addiction,2562,0.0033085813908439337,0.29145204757372684,point estimate
men,774350,Emotions,836,0.0010796151611028606,0.18696560080803876,point estimate
men,774350,Explicit Reference to Defendant’s Gender ,628,0.0008110027765222444,0.16428525893499962,point estimate
men,774350,Figurative/Metaphorical Language,1373,0.0017731000193710854,0.23464753909652572,point estimate
men,774350,Gender and Gender Roles,3917,0.005058436107703235,0.30191411766600035,point estimate
men,774350,Immigration,2056,0.002655130109123781,0.27750096659361373,point estimate
men,774350,Intimate Partner Relationships,671,0.0008665332214115064,0.1676299019476468,point estimate
men,774350,Mental Health/Mental Disability,3957,0.005110092335507199,0.31163530348224466,point estimate
men,774350,Parenting Language,10668,0.013776715955317362,0.370278605016942,point estimate
men,774350,Racial Tropes,1278,0.0016504164783366696,0.23169816663281484,point estimate
men,774350,Religion ,781,0.001008587847872409,0.18144746238318055,point estimate
men,774350,Sexual Language,4107,0.005303803189772067,0.32197947030351426,point estimate
men,774350,Sexuality,10,1.2914056950991153e-05,0.02840192778632909,point estimate
men,774350,Socioeconomic Status/Spending/Poverty,1798,0.0023219474397882097,0.255687913479404,point estimate
men,774350,Testimony re Gender-Based Violence ,2756,0.003559114095693162,0.31272868372051044,point estimate
men,774350,Women’s Non-Domestic Work,1527,0.0019719764964163493,0.24424515203335356,point estimate
women,2071933,Characterization,30908,0.014917470786941469,0.43864595966523684,point estimate
women,2071933,Clothing/Makeup/Appearance ,2572,0.0012413528815844914,0.21378606557517238,point estimate
women,2071933,Drugs and Addiction,6463,0.0031193093599069083,0.2829928243726682,point estimate
women,2071933,Emotions,3989,0.001925255305070193,0.24967288893754594,point estimate
women,2071933,Explicit Reference to Defendant’s Gender ,3831,0.0018489980129666355,0.24805937680799495,point estimate
women,2071933,Figurative/Metaphorical Language,4057,0.0019580748991400786,0.2465835136226825,point estimate
women,2071933,Gender and Gender Roles,16782,0.008099682760012028,0.38204040036446973,point estimate
women,2071933,Immigration,4496,0.0021699543373265447,0.2508689394825876,point estimate
women,2071933,Intimate Partner Relationships,4133,0.0019947556219240678,0.2543335956197974,point estimate
women,2071933,Mental Health/Mental Disability,14474,0.0069857471259929735,0.36436672344004717,point estimate
women,2071933,Parenting Language,52736,0.025452560483374704,0.5032937135334695,point estimate
women,2071933,Racial Tropes,3484,0.001681521554992367,0.2338713600118673,point estimate
women,2071933,Religion ,3933,0.0018982274040714637,0.24892479184330615,point estimate
women,2071933,Sexual Language,13208,0.0063747235069859885,0.35299223972813293,point estimate
